Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,20.73,48.21,3.78,16.41,20.18,18.98,3.48,0.40,39.99,0.25,0.53,NA,NA,0.12,0.21,24.96,68.50,0.68,74.86,NA,0.00,106.10,805.95,NA
2025-01-02 00:00:00,25.39,56.60,3.79,16.06,19.75,18.61,2.67,0.42,32.01,0.24,0.49,NA,NA,0.13,0.19,24.44,72.36,0.61,83.90,NA,0.00,95.53,821.32,NA
2025-01-03 00:00:00,27.78,65.31,3.73,16.05,19.76,18.49,4.26,0.45,31.37,0.22,0.49,NA,NA,0.14,0.21,24.44,69.22,0.78,74.32,NA,0.00,94.19,831.02,NA
2025-01-04 00:00:00,27.24,60.34,3.77,16.36,20.12,18.96,5.37,0.53,29.91,0.20,0.45,NA,NA,0.13,0.20,24.23,69.26,0.63,83.00,NA,0.00,94.72,821.83,NA
2025-01-05 00:00:00,28.29,60.76,3.63,15.68,19.31,18.26,4.48,0.59,34.93,0.20,0.45,NA,NA,0.12,0.21,24.44,69.13,0.40,87.65,NA,0.00,101.30,821.55,NA
2025-01-06 00:00:00,28.95,59.94,3.86,16.82,20.68,19.32,3.18,0.60,21.70,0.20,0.45,NA,NA,0.13,0.22,24.61,66.20,0.26,105.11,NA,0.00,106.01,802.26,NA
2025-01-07 00:00:00,30.87,63.77,3.70,16.13,19.82,18.68,4.28,0.79,28.09,0.20,0.45,NA,NA,0.13,0.22,24.76,67.67,0.29,92.29,NA,0.00,103.35,807.20,NA
2025-01-08 00:00:00,26.33,57.30,3.77,16.30,20.07,18.90,3.69,0.65,33.43,0.20,0.45,NA,NA,0.13,0.21,24.87,65.35,0.39,103.75,NA,0.00,100.85,810.13,NA
2025-01-09 00:00:00,27.31,59.42,3.67,15.97,19.64,18.53,4.66,0.43,41.56,0.21,0.44,NA,NA,0.13,0.21,22.99,69.79,0.82,71.62,NA,0.00,84.46,837.46,NA
2025-01-10 00:00:00,28.02,62.07,3.75,16.36,20.10,18.85,3.45,0.41,32.03,0.20,0.46,NA,NA,0.14,0.22,23.11,77.63,0.58,79.71,NA,0.00,88.15,827.56,NA
2025-01-11 00:00:00,24.25,54.22,3.68,15.77,19.44,18.40,2.62,0.47,26.35,0.20,0.45,NA,NA,0.13,0.21,23.26,81.93,0.47,78.72,NA,0.00,81.90,829.86,NA
2025-01-12 00:00:00,20.28,51.13,3.71,16.18,19.88,18.70,3.90,0.47,26.38,0.20,0.45,NA,NA,0.13,0.22,24.58,77.13,0.48,85.18,NA,0.00,87.26,830.44,NA
2025-01-13 00:00:00,16.22,40.53,3.70,15.69,19.34,18.25,3.44,0.53,32.89,0.21,0.45,NA,NA,0.13,0.21,24.30,82.40,0.68,80.22,NA,0.00,79.89,830.49,NA
2025-01-14 00:00:00,12.15,36.73,3.87,16.63,20.41,18.91,2.94,0.35,46.50,0.20,0.46,NA,NA,0.13,0.20,26.79,82.23,0.67,75.10,NA,0.00,74.02,839.54,NA
2025-01-15 00:00:00,15.00,37.07,3.74,16.40,20.14,18.74,4.12,0.31,32.31,0.21,0.46,NA,NA,0.14,0.21,23.05,74.30,0.90,80.77,NA,0.00,82.59,839.61,NA
2025-01-16 00:00:00,18.00,45.65,4.27,17.73,21.74,20.05,1.91,0.28,36.16,0.19,0.45,NA,NA,0.13,0.21,22.96,70.22,0.75,88.41,NA,0.00,90.54,834.89,NA
2025-01-17 00:00:00,29.80,60.08,3.80,16.65,20.44,18.96,3.96,0.42,30.44,0.20,0.45,NA,NA,0.12,0.21,24.33,72.40,0.88,79.61,NA,0.00,79.68,838.44,NA
2025-01-18 00:00:00,28.11,63.17,3.61,15.40,19.00,17.98,3.53,0.40,36.50,0.20,0.45,NA,NA,0.14,0.21,26.82,73.10,0.90,76.61,NA,0.00,96.05,812.63,NA
2025-01-19 00:00:00,28.28,59.03,3.76,16.33,20.08,18.84,5.36,0.44,28.22,0.19,0.45,NA,NA,0.12,0.21,26.72,87.19,0.84,64.25,NA,0.00,34.99,790.54,NA
2025-01-20 00:00:00,22.70,48.80,3.96,17.46,21.41,19.86,5.53,0.55,26.34,0.20,0.45,NA,NA,0.14,0.22,26.97,66.53,0.66,66.16,NA,0.00,130.56,809.69,NA
2025-01-21 00:00:00,29.89,61.96,3.78,16.33,20.11,18.95,4.06,0.53,34.00,0.20,0.45,NA,NA,0.13,0.21,25.78,56.66,0.59,90.99,NA,0.00,117.53,831.95,NA
2025-01-22 00:00:00,30.58,62.15,3.83,16.49,20.30,19.00,4.10,0.45,23.70,0.18,0.45,NA,NA,0.12,0.20,24.89,72.45,0.38,84.08,NA,0.00,53.69,822.15,NA
2025-01-23 00:00:00,25.96,55.81,3.70,16.17,19.85,18.52,3.89,0.42,26.11,0.20,0.45,NA,NA,0.13,0.21,26.18,68.71,0.53,86.63,NA,0.00,125.01,825.29,NA
2025-01-24 00:00:00,25.78,54.62,3.90,17.21,21.09,19.59,5.37,0.41,33.44,0.21,0.44,NA,NA,0.13,0.20,26.18,62.08,0.73,124.59,NA,0.00,131.75,823.08,NA
2025-01-25 00:00:00,25.96,57.69,3.75,16.21,19.93,18.70,6.75,0.47,54.32,0.20,0.44,NA,NA,0.13,0.22,27.66,37.45,0.81,83.18,NA,0.00,142.61,826.21,NA
2025-01-26 00:00:00,20.51,46.58,4.06,17.35,21.36,19.92,3.93,0.32,32.80,0.20,0.46,NA,NA,0.12,0.21,25.98,54.38,0.68,87.28,NA,0.00,146.28,836.15,NA
2025-01-27 00:00:00,29.41,60.98,3.81,16.49,20.30,19.13,4.27,0.52,23.62,0.20,0.45,NA,NA,0.12,0.20,26.02,46.12,0.49,89.25,NA,0.00,122.22,837.99,NA
2025-01-28 00:00:00,29.78,61.49,3.79,16.50,20.28,18.89,6.57,0.64,37.85,0.20,0.44,NA,NA,0.13,0.21,25.87,56.28,0.44,84.64,NA,0.00,116.94,826.26,NA
2025-01-29 00:00:00,30.92,65.69,3.74,16.09,19.80,18.65,4.31,0.58,38.81,0.19,0.45,NA,NA,0.14,0.21,26.20,53.35,0.61,92.40,NA,0.00,123.82,829.87,NA
2025-01-30 00:00:00,28.34,61.34,3.89,16.78,20.67,19.33,3.09,0.57,37.00,0.20,0.45,NA,NA,0.14,0.20,26.49,63.77,0.35,102.39,NA,0.00,100.75,821.86,NA
2025-01-31 00:00:00,23.37,51.00,3.84,16.77,20.61,19.26,6.08,0.47,33.18,0.20,0.44,NA,NA,0.13,0.21,27.09,65.22,0.45,111.07,NA,0.00,121.05,813.57,NA
2025-02-01 00:00:00,30.15,66.21,3.79,16.78,20.63,19.38,2.88,0.43,48.68,0.20,0.46,NA,NA,0.12,0.22,27.51,65.64,0.50,102.60,NA,0.00,116.75,792.24,NA
2025-02-02 00:00:00,23.75,53.75,3.68,15.87,19.50,18.21,3.70,0.84,25.09,0.19,0.45,NA,NA,0.14,0.21,27.59,44.50,0.18,154.10,NA,0.00,128.49,797.22,NA
2025-02-03 00:00:00,23.29,54.57,3.87,16.68,20.49,19.09,4.93,0.44,39.22,0.20,0.44,NA,NA,0.12,0.20,26.90,46.25,0.35,109.88,NA,0.00,155.75,806.50,NA
2025-02-04 00:00:00,27.83,61.43,4.15,16.71,20.58,19.30,7.96,0.47,35.49,0.20,0.45,NA,NA,0.13,0.21,26.64,40.30,0.47,106.33,NA,0.00,144.02,843.64,NA
2025-02-05 00:00:00,29.28,63.18,3.78,16.39,20.17,19.00,6.66,0.41,42.59,0.21,0.45,NA,NA,0.12,0.20,26.77,38.51,0.53,116.25,NA,0.00,144.06,843.68,NA
2025-02-06 00:00:00,26.39,58.06,3.70,15.87,19.54,18.44,6.15,0.46,41.09,0.20,0.46,NA,NA,0.13,0.21,26.59,40.87,0.54,104.24,NA,0.00,145.15,829.16,NA
2025-02-07 00:00:00,21.19,50.17,3.92,16.87,20.77,19.44,5.27,0.45,37.53,0.20,0.46,NA,NA,0.13,0.21,26.70,39.23,0.50,100.62,NA,0.00,164.15,800.72,NA
2025-02-08 00:00:00,24.90,52.50,3.82,16.63,20.46,19.23,7.28,0.40,44.15,0.21,0.44,NA,NA,0.13,0.22,26.41,43.34,0.60,116.35,NA,0.00,129.15,800.04,NA
2025-02-09 00:00:00,32.75,63.06,3.61,15.57,19.17,18.13,4.51,0.41,57.71,0.20,0.45,NA,NA,0.13,0.21,26.74,47.45,0.68,96.47,NA,0.00,123.97,801.02,NA
2025-02-10 00:00:00,32.34,66.55,3.72,16.23,19.93,18.66,5.92,0.52,46.44,0.19,0.45,NA,NA,0.12,0.21,26.51,53.15,0.60,86.18,NA,0.00,116.63,798.12,NA
2025-02-11 00:00:00,32.49,64.59,3.75,16.29,20.03,18.86,6.41,0.79,39.17,0.19,0.44,NA,NA,0.14,0.21,26.62,43.81,0.46,119.60,NA,0.00,137.71,808.39,NA
2025-02-12 00:00:00,21.27,44.17,3.65,15.59,19.24,18.29,7.31,0.67,39.73,0.19,0.46,NA,NA,0.12,0.21,26.86,34.21,0.58,118.08,NA,0.00,160.75,818.59,NA
2025-02-13 00:00:00,28.84,60.88,3.72,16.10,19.82,18.57,11.73,0.74,46.55,0.20,0.45,NA,NA,0.13,0.20,27.74,33.05,0.53,110.53,NA,0.00,158.14,810.21,NA
2025-02-14 00:00:00,23.88,55.33,3.64,15.52,19.16,18.23,6.80,0.73,36.46,0.20,0.45,NA,NA,0.13,0.22,29.48,44.71,0.38,133.11,NA,0.00,141.06,805.41,NA
2025-02-15 00:00:00,28.76,63.28,3.75,16.13,19.87,18.76,4.59,0.59,46.10,0.20,0.44,NA,NA,0.13,0.21,30.33,63.30,0.40,167.89,NA,0.00,135.94,805.79,NA
2025-02-16 00:00:00,26.37,59.25,3.95,16.81,20.73,19.48,5.10,0.72,44.08,0.19,0.46,NA,NA,0.13,0.21,29.95,43.09,0.31,92.78,NA,0.00,109.49,811.22,NA
2025-02-17 00:00:00,25.69,52.02,3.75,16.10,19.86,18.76,5.09,0.53,44.02,0.20,0.45,NA,NA,0.14,0.21,30.18,41.18,0.59,98.87,NA,0.00,127.44,818.27,NA
2025-02-18 00:00:00,29.70,61.83,3.81,16.51,20.32,19.00,5.06,0.65,41.02,0.20,0.44,NA,NA,0.13,0.20,30.07,45.44,0.55,107.12,NA,0.00,129.65,805.68,NA
2025-02-19 00:00:00,29.65,61.85,3.70,15.84,19.51,18.43,7.33,0.76,51.98,0.21,0.46,NA,NA,0.14,0.21,31.59,39.57,0.57,118.47,NA,0.00,159.65,819.78,NA
2025-02-20 00:00:00,28.46,58.48,3.93,17.07,20.99,19.59,6.18,0.42,43.85,0.20,0.45,NA,NA,0.13,0.21,30.64,60.15,0.55,141.10,NA,0.00,144.78,815.02,NA
2025-02-21 00:00:00,26.04,54.99,3.56,15.39,18.94,17.82,8.57,0.66,48.04,0.20,0.45,NA,NA,0.14,0.20,30.48,43.41,0.45,91.99,NA,0.00,148.27,812.40,NA
2025-02-22 00:00:00,28.72,58.66,3.68,15.91,19.59,18.52,4.16,0.57,45.68,0.19,0.45,NA,NA,0.13,0.21,30.54,45.33,0.47,92.06,NA,0.00,125.68,802.68,NA
2025-02-23 00:00:00,26.26,57.69,3.73,16.09,19.82,18.76,5.13,0.48,37.02,0.21,0.44,NA,NA,0.13,0.20,30.67,51.89,0.70,98.82,NA,0.00,139.29,799.02,NA
2025-02-24 00:00:00,23.77,52.90,3.55,15.29,18.84,17.96,6.84,0.45,36.51,0.21,0.46,NA,NA,0.13,0.22,30.21,38.68,0.86,87.78,NA,0.00,139.29,800.37,NA
2025-02-25 00:00:00,20.85,47.77,3.76,16.24,20.00,18.85,5.88,0.29,42.30,0.21,0.45,NA,NA,0.14,0.21,30.03,44.66,0.78,83.46,NA,0.00,127.90,802.33,NA
2025-02-26 00:00:00,23.23,49.81,3.65,15.77,19.43,18.36,6.04,0.32,50.09,0.21,0.44,NA,NA,0.12,0.21,30.27,45.69,0.95,75.59,NA,0.00,125.96,800.67,NA
2025-02-27 00:00:00,19.24,47.86,3.72,15.98,19.69,18.62,5.60,0.33,49.89,0.20,0.45,NA,NA,0.14,0.22,30.25,41.94,0.89,76.71,NA,0.00,131.11,803.00,NA
2025-02-28 00:00:00,20.86,49.57,3.85,16.81,20.66,19.32,4.96,0.34,43.67,0.21,0.45,NA,NA,0.13,0.21,30.29,49.52,0.69,82.49,NA,0.00,126.82,802.13,NA
2025-03-01 00:00:00,17.36,42.29,3.66,15.84,19.49,18.41,4.66,0.37,33.86,0.21,0.46,NA,NA,0.13,0.21,30.44,61.28,0.88,77.41,NA,0.00,115.62,812.45,NA
2025-03-02 00:00:00,18.84,45.92,3.91,17.19,21.11,19.69,4.70,0.37,35.03,0.21,0.45,NA,NA,0.13,0.21,30.55,63.25,0.60,97.05,NA,0.00,127.62,823.33,NA
2025-03-03 00:00:00,25.17,55.72,3.73,16.26,20.01,18.77,3.43,0.55,33.58,0.19,0.44,NA,NA,0.13,0.21,30.80,66.26,0.28,153.35,NA,0.00,142.94,829.08,NA
2025-03-04 00:00:00,25.90,56.68,3.78,16.49,20.26,18.95,5.69,0.58,40.73,0.21,0.45,NA,NA,0.13,0.21,31.07,45.15,0.62,99.09,NA,0.00,144.12,826.28,NA
2025-03-05 00:00:00,31.72,64.55,3.73,16.12,19.84,18.72,9.85,0.85,23.45,0.21,0.45,NA,NA,0.12,0.20,30.80,37.98,0.40,136.65,NA,0.00,157.23,835.44,NA
2025-03-06 00:00:00,26.29,56.34,3.70,15.92,19.62,18.54,3.12,0.39,41.25,0.19,0.46,NA,NA,0.13,0.21,30.79,67.66,0.44,173.25,NA,0.00,159.38,836.28,NA
2025-03-07 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-08 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-09 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-10 00:00:00,23.86,59.29,4.16,17.47,21.63,20.16,8.60,0.29,31.39,0.21,0.48,NA,NA,0.20,0.17,32.38,26.27,1.46,60.95,NA,0.00,263.28,826.10,NA
2025-03-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-12 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-18 00:00:00,19.80,50.85,4.09,17.99,22.52,20.52,6.47,0.24,93.32,0.20,0.44,NA,NA,0.13,0.21,33.45,28.28,0.98,69.53,NA,0.00,223.90,818.91,NA
2025-03-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-20 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-21 00:00:00,27.01,64.50,3.59,15.31,18.89,17.98,5.87,0.53,37.68,0.19,0.45,NA,NA,0.15,0.23,31.29,55.23,0.26,181.13,NA,0.00,152.19,804.37,NA
2025-03-22 00:00:00,20.45,53.92,3.76,16.24,19.99,18.87,4.94,0.24,50.15,0.18,0.47,NA,NA,0.13,0.21,30.74,71.77,0.48,161.29,NA,0.00,152.39,804.54,NA
2025-03-23 00:00:00,14.64,37.56,3.82,16.54,20.35,19.12,11.84,0.23,19.50,0.19,0.45,NA,NA,0.13,0.20,29.59,76.37,0.31,156.23,NA,0.00,165.56,851.06,NA
2025-03-24 00:00:00,22.35,53.48,3.86,16.14,19.91,18.81,4.11,0.23,41.64,0.21,0.46,NA,NA,0.13,0.22,30.81,61.00,0.59,107.12,NA,0.00,155.56,838.78,NA
2025-03-25 00:00:00,25.40,55.77,3.75,16.22,19.96,18.84,3.32,0.32,51.32,0.20,0.46,NA,NA,0.12,0.21,31.27,60.86,0.45,155.98,NA,0.00,162.89,788.90,NA
2025-03-26 00:00:00,27.14,57.07,3.68,15.81,19.48,18.44,4.63,0.28,50.90,0.20,0.45,NA,NA,0.13,0.22,31.12,60.59,0.48,173.84,NA,0.00,162.16,788.15,NA
2025-03-27 00:00:00,30.67,64.02,3.95,17.09,21.04,19.70,4.23,0.37,36.72,0.20,0.46,NA,NA,0.13,0.22,31.45,56.86,0.30,188.60,NA,0.00,151.55,788.14,NA
2025-03-28 00:00:00,29.47,62.36,3.79,15.82,19.51,18.48,4.07,0.43,37.94,0.21,0.45,NA,NA,0.13,0.21,31.48,62.49,0.41,173.07,NA,0.00,156.01,784.86,NA
2025-03-29 00:00:00,26.15,58.06,3.67,16.01,19.67,18.46,4.01,0.49,43.14,0.21,0.45,NA,NA,0.13,0.22,31.54,60.00,0.43,176.85,NA,0.00,153.00,765.87,NA
2025-03-30 00:00:00,27.27,60.15,3.81,16.60,20.41,19.15,3.39,0.33,54.13,0.20,0.46,NA,NA,0.13,0.21,31.14,61.95,0.30,178.28,NA,0.00,180.46,807.94,NA
2025-03-31 00:00:00,28.42,60.87,3.83,16.58,20.40,19.16,3.06,0.45,38.27,0.21,0.45,NA,NA,0.14,0.21,31.06,64.19,0.38,186.74,NA,0.00,168.27,805.54,NA
2025-04-01 00:00:00,20.10,55.08,3.61,15.41,19.02,18.09,3.16,0.38,41.87,0.20,0.44,NA,NA,0.13,0.22,31.00,67.83,0.31,176.41,NA,0.00,139.49,809.96,NA
2025-04-02 00:00:00,18.72,47.42,4.11,17.14,21.10,19.78,4.73,0.32,37.54,0.21,0.44,NA,NA,0.13,0.21,30.65,65.26,0.54,200.12,NA,0.00,105.43,814.26,NA
2025-04-03 00:00:00,15.31,41.89,3.73,16.13,19.86,18.68,8.69,0.39,30.57,0.19,0.44,NA,NA,0.12,0.22,30.28,70.22,0.32,173.99,NA,0.00,101.86,852.06,NA
2025-04-04 00:00:00,14.75,47.64,3.76,16.14,19.90,18.75,9.96,0.31,38.43,0.19,0.45,NA,NA,0.12,0.20,30.92,67.03,0.62,113.58,NA,0.00,154.75,832.65,NA
2025-04-05 00:00:00,11.76,35.81,3.77,16.30,20.07,18.98,12.78,0.34,33.68,0.20,0.44,NA,NA,0.14,0.21,30.18,76.31,0.41,142.26,NA,0.00,213.51,786.84,NA
2025-04-06 00:00:00,13.97,39.09,3.89,16.83,20.72,19.45,6.60,0.34,41.39,0.20,0.45,NA,NA,0.12,0.21,30.89,68.89,0.26,155.51,NA,0.00,309.28,790.83,NA
2025-04-07 00:00:00,21.44,55.14,3.86,16.72,20.53,19.31,12.15,0.48,45.56,0.19,0.44,NA,NA,0.14,0.22,31.36,60.02,0.50,119.77,NA,0.00,386.67,820.82,NA
2025-04-08 00:00:00,22.81,54.59,3.63,15.64,19.28,18.24,4.86,0.38,44.40,0.19,0.45,NA,NA,0.12,0.21,31.30,65.78,0.50,153.14,NA,0.00,319.42,835.60,NA
2025-04-09 00:00:00,22.05,53.39,3.68,15.84,19.52,18.46,6.15,0.43,49.50,0.20,0.44,NA,NA,0.13,0.22,31.18,57.96,0.37,166.14,NA,0.00,173.53,842.84,NA
2025-04-10 00:00:00,16.97,50.25,3.70,15.92,19.61,18.59,3.79,0.29,40.34,0.20,0.45,NA,NA,0.12,0.21,30.83,66.24,0.31,269.95,NA,0.00,408.03,834.95,NA
2025-04-11 00:00:00,15.29,52.12,3.78,16.60,20.38,19.24,6.25,0.33,34.94,0.20,0.44,NA,NA,0.13,0.21,30.80,71.28,0.26,247.56,NA,0.00,346.53,819.56,NA
2025-04-12 00:00:00,14.13,51.13,3.76,16.18,19.94,18.73,5.83,0.37,39.96,0.20,0.45,NA,NA,0.12,0.22,30.99,62.86,0.32,234.89,NA,0.00,339.57,829.31,NA
2025-04-13 00:00:00,12.65,42.60,3.66,15.67,19.33,18.32,5.58,0.33,51.49,0.20,0.45,NA,NA,0.13,0.22,31.09,57.21,0.53,140.26,NA,0.00,413.40,850.06,NA
2025-04-14 00:00:00,12.74,42.67,3.69,15.94,19.62,18.59,5.53,0.40,48.88,0.20,0.45,NA,NA,0.13,0.22,31.02,59.63,0.45,146.02,NA,0.00,385.24,827.97,NA
2025-04-15 00:00:00,13.16,47.00,3.77,16.41,20.17,18.87,6.84,0.38,50.39,0.20,0.44,NA,NA,0.13,0.21,31.35,53.47,0.31,150.64,NA,0.00,259.35,804.78,NA
2025-04-16 00:00:00,14.99,47.58,3.66,15.58,19.23,18.28,8.58,0.29,42.96,0.21,0.45,NA,NA,0.14,0.20,31.06,64.84,0.45,190.92,NA,0.00,147.19,804.09,NA
2025-04-17 00:00:00,17.25,49.11,3.71,15.61,19.27,18.30,7.00,0.29,26.99,0.20,0.45,NA,NA,0.13,0.21,30.90,67.23,0.31,198.88,NA,0.00,418.21,802.66,NA
2025-04-18 00:00:00,19.37,54.12,3.84,16.76,20.54,19.18,7.98,0.23,36.06,0.20,0.45,NA,NA,0.13,0.21,30.91,72.25,0.29,245.28,NA,0.00,294.16,806.47,NA
2025-04-19 00:00:00,17.48,45.35,3.82,16.53,20.32,19.03,7.71,0.27,33.38,0.21,0.44,NA,NA,0.13,0.21,31.13,62.09,0.26,238.61,NA,0.00,326.48,841.86,NA
2025-04-20 00:00:00,13.41,42.40,3.78,16.24,20.01,18.91,10.18,0.20,25.68,0.20,0.45,NA,NA,0.12,0.22,30.53,78.82,0.30,226.61,NA,0.00,378.66,802.85,NA
2025-04-21 00:00:00,13.95,48.38,3.78,16.34,20.12,18.97,5.86,0.34,40.11,0.20,0.45,NA,NA,0.13,0.21,31.27,65.10,0.29,154.72,NA,0.00,393.77,810.08,NA
2025-04-22 00:00:00,16.45,56.61,3.64,15.55,19.19,18.20,3.14,0.46,39.86,0.20,0.46,NA,NA,0.13,0.21,31.28,68.27,0.38,177.04,NA,0.00,310.22,808.07,NA
2025-04-23 00:00:00,16.75,49.64,3.77,16.52,20.32,19.09,7.28,0.27,41.34,0.20,0.45,NA,NA,0.13,0.22,31.45,68.10,0.40,178.25,NA,0.00,602.43,831.46,NA
2025-04-24 00:00:00,9.93,38.88,3.76,16.24,20.00,18.89,4.73,0.35,35.05,0.21,0.45,NA,NA,0.14,0.21,31.44,66.43,0.38,189.53,NA,0.00,442.22,823.53,NA
2025-04-25 00:00:00,10.66,35.64,3.80,15.79,19.47,18.27,9.75,0.32,29.70,0.19,0.45,NA,NA,0.13,0.20,31.39,70.72,0.32,193.21,NA,0.00,343.55,812.14,NA
2025-04-26 00:00:00,13.15,43.16,3.70,15.87,19.54,18.51,10.22,0.32,37.41,0.20,0.45,NA,NA,0.12,0.20,31.55,64.57,0.29,181.22,NA,0.00,472.30,822.02,NA
2025-04-27 00:00:00,15.56,40.00,3.78,16.35,20.13,18.95,4.94,0.28,33.40,0.21,0.45,NA,NA,0.13,0.21,31.11,69.23,0.32,197.60,NA,0.00,437.62,836.99,NA
2025-04-28 00:00:00,19.91,52.18,3.67,15.80,19.47,18.33,8.22,0.35,50.88,0.21,0.44,NA,NA,0.13,0.20,31.16,64.32,0.46,142.95,NA,0.00,588.86,838.41,NA
2025-04-29 00:00:00,23.93,50.01,3.72,16.23,19.98,18.80,12.73,0.41,42.94,0.20,0.45,NA,NA,0.13,0.22,31.50,66.49,0.44,168.16,NA,0.00,318.23,852.69,NA
2025-04-30 00:00:00,27.41,65.14,3.90,16.77,20.64,19.37,7.40,0.25,48.76,0.18,0.46,NA,NA,0.13,0.23,31.76,58.05,0.40,139.00,NA,0.00,NA,892.43,NA
2025-05-01 00:00:00,17.98,44.01,3.68,15.84,19.44,18.43,10.78,0.31,43.99,0.19,0.45,NA,NA,0.14,0.21,30.56,71.13,0.36,214.80,NA,0.00,373.30,890.75,NA
2025-05-02 00:00:00,21.82,49.01,3.65,15.54,19.19,18.23,10.87,0.36,34.48,0.21,0.46,NA,NA,0.13,0.21,30.73,76.67,0.40,157.05,NA,0.00,161.06,857.86,NA
